,Title,Country,Location,Year,Total_Floors,Apart_Floors,Apart_Rooms,Total_Area,Price,Continent,C-Code,Price_category,Time_Period
27427,"1 room apartment 38 m² in Mazyr, Belarus",Belarus,"Homel Region, Mazyr, Mazyr District, Belarus",1965,2,1,1,38,15000.0,Europe,5,Low price,1950-2000
27428,"2 room apartment 31 m² in Michanavičy, Belarus",Belarus,"Michanavičy, Minsk Region, Michanavicki sielski Saviet, Minsk District, Belarus",1972,1,1,2,31,16450.0,Europe,5,Low price,1950-2000
27429,"1 room apartment 28 m² in Homel, Belarus",Belarus,"Homel Region, Homel, Belarus",1981,9,2,1,28,15500.0,Europe,5,Low price,1950-2000
27430,"2 room apartment 55 m² in Kvasynicy, Belarus",Belarus,"Kvasynicy, Minsk Region, Bielicki sielski Saviet, Slutsk District, Belarus",1979,3,1,2,55,15500.0,Europe,5,Low price,1950-2000
27431,"2 room apartment 44 m² in Zhabinka, Belarus",Belarus,"Zhabinka, Brest Region, Zhabinka District, Belarus",1971,2,1,2,44,16800.0,Europe,5,Low price,1950-2000
27432,"3 room apartment 66 m² in Aliachnovicki sielski Saviet, Belarus",Belarus,"Minsk Region, Aliachnovicki sielski Saviet, Maladzyechna District, Belarus",1984,3,1,3,66,19500.0,Europe,5,Low price,1950-2000
27433,"2 room apartment 41 m² in Orsha, Belarus",Belarus,"Vitsebsk Region, Orsha, Orsha District, Belarus",1959,4,4,2,41,19500.0,Europe,5,Low price,1950-2000
27434,"1 room apartment 35 m² in Hrodna, Belarus",Belarus,"Hrodna Region, Hrodna, Belarus",1988,9,5,1,35,22000.0,Europe,5,Low price,1950-2000
27435,"4 room apartment 64 m² in Slonim, Belarus",Belarus,"Slonim, Hrodna Region, Slonim District, Belarus",1975,5,1,4,64,22500.0,Europe,5,Low price,1950-2000
27436,"1 room apartment 31 m² in Vítebsk, Belarus",Belarus,"Vitsebsk Region, Vítebsk, Belarus",1968,5,4,1,31,21500.0,Europe,5,Low price,1950-2000
27437,"2 room apartment 43 m² in Salihorsk, Belarus",Belarus,"Minsk Region, Salihorsk, Salihorsk District, Belarus",1961,4,4,2,43,28500.0,Europe,5,Low price,1950-2000
27438,"1 room apartment 31 m² in Brest, Belarus",Belarus,"Brest Region, Brest, Belarus",1980,5,4,1,31,28000.0,Europe,5,Low price,1950-2000
27439,"2 room apartment 40 m² in Brest, Belarus",Belarus,"Brest Region, Brest, Belarus",1917,1,1,2,40,28000.0,Europe,5,Low price,1900-1950
27440,"2 room apartment 28 m² in Hrodna, Belarus",Belarus,"Hrodna Region, Hrodna, Belarus",1950,2,1,2,28,25000.0,Europe,5,Low price,1950-2000
27442,"1 room apartment 31 m² in Brest, Belarus",Belarus,"Brest Region, Brest, Belarus",1971,5,4,1,31,26900.0,Europe,5,Low price,1950-2000
27443,"1 room apartment 30 m² in Hrodna, Belarus",Belarus,"Hrodna Region, Hrodna, Belarus",1968,5,2,1,30,27500.0,Europe,5,Low price,1950-2000
27444,"2 room apartment 58 m² in Zhodzina, Belarus",Belarus,"Zhodzina, Minsk Region, Belarus",2021,5,4,2,58,34067.0,Europe,5,Low price,2010on
27445,"3 room apartment 56 m² in Rudauka, Belarus",Belarus,"Rudauka, Minsk Region, Niasvizski sielski Saviet, Nesvizh District, Belarus",1996,5,4,3,56,33500.0,Europe,5,Low price,1950-2000
27446,"1 room apartment 27 m² in Brest, Belarus",Belarus,"Brest Region, Brest, Belarus",1958,4,2,1,27,31000.0,Europe,5,Low price,1950-2000
27447,"3 room apartment 56 m² in Orsha, Belarus",Belarus,"Vitsebsk Region, Orsha, Orsha District, Belarus",1961,4,3,3,56,27000.0,Europe,5,Low price,1950-2000
27448,"3 room apartment 54 m² in Mazyr, Belarus",Belarus,"Homel Region, Mazyr, Mazyr District, Belarus",1965,5,3,3,54,28000.0,Europe,5,Low price,1950-2000
27449,"1 room apartment 45 m² in Babruysk, Belarus",Belarus,"Mahilyow Region, Babruysk, Belarus",2006,9,6,1,45,20900.0,Europe,5,Low price,2000-2010
27450,"2 room apartment 46 m² in Homel, Belarus",Belarus,"Homel Region, Homel, Belarus",1965,5,4,2,46,23500.0,Europe,5,Low price,1950-2000
27452,"1 room apartment 30 m² in Homel, Belarus",Belarus,"Homel Region, Homel, Belarus",1966,5,3,1,30,19700.0,Europe,5,Low price,1950-2000
27453,"2 room apartment 46 m² in Malaryta, Belarus",Belarus,"Malaryta, Brest Region, Malaryta District, Belarus",1994,5,4,2,46,18800.0,Europe,5,Low price,1950-2000
27454,"2 room apartment 40 m² in Navakolasava, Belarus",Belarus,"Navakolasava, Minsk Region, Novakolasauski sielski Saviet, Stowbtsy District, Belarus",1960,2,1,2,40,19900.0,Europe,5,Low price,1950-2000
27455,"1 room apartment 38 m² in Sluck, Belarus",Belarus,"Sluck, Minsk Region, Slutsk District, Belarus",1982,9,8,1,38,19500.0,Europe,5,Low price,1950-2000
27456,"2 room apartment 37 m² in Brest, Belarus",Belarus,"Brest Region, Brest, Belarus",1985,5,5,2,37,28400.0,Europe,5,Low price,1950-2000
27459,"3 room apartment 60 m² in Baran, Belarus",Belarus,"Baran, Vitsebsk Region, Orsha District, Belarus",1956,3,1,3,60,15000.0,Europe,5,Low price,1950-2000
27460,"1 room apartment 38 m² in Biaroza, Belarus",Belarus,"Biaroza, Brest Region, Byaroza District, Belarus",2000,5,5,1,38,16500.0,Europe,5,Low price,2000-2010
27461,"1 room apartment 37 m² in Brest, Belarus",Belarus,"Brest Region, Brest, Belarus",1998,5,3,1,37,33900.0,Europe,5,Low price,1950-2000
27462,"1 room apartment 30 m² in Zhabinka, Belarus",Belarus,"Zhabinka, Brest Region, Zhabinka District, Belarus",1964,4,1,1,30,17000.0,Europe,5,Low price,1950-2000
27463,"2 room apartment 48 m² in Stradziec, Belarus",Belarus,"Stradziec, Brest Region, Znamienski sielski Saviet, Brest District, Belarus",1973,2,1,2,48,15500.0,Europe,5,Low price,1950-2000
27464,"2 room apartment 45 m² in Homel, Belarus",Belarus,"Homel Region, Homel, Belarus",1965,5,4,2,45,24000.0,Europe,5,Low price,1950-2000
27465,"2 room apartment 47 m² in Lida, Belarus",Belarus,"Hrodna Region, Lida, Lida District, Belarus",1971,5,1,2,47,26500.0,Europe,5,Low price,1950-2000
27466,"3 room apartment 69 m² in Slonim, Belarus",Belarus,"Slonim, Hrodna Region, Slonim District, Belarus",1994,2,1,3,69,25000.0,Europe,5,Low price,1950-2000
27468,"2 room apartment 51 m² in Lyuban, Belarus",Belarus,"Lyuban, Minsk Region, Lyuban District, Belarus",1980,3,1,2,51,19900.0,Europe,5,Low price,1950-2000
27469,"2 room apartment 47 m² in Byerazino, Belarus",Belarus,"Byerazino, Minsk Region, Byerazino District, Belarus",1961,2,1,2,47,20900.0,Europe,5,Low price,1950-2000
