,Title,Country,Location,Year,Total_Floors,Apart_Floors,Apart_Rooms,Total_Area,Price,Continent,C-Code,Price_category,Time_Period
1,"4 room apartment 245 m² in Yesiloez, Turkey",Turkey,"Yesiloez, Mediterranean Region, Alanya, Turkey",2007,2,3,5,245,274415.0,Europe,5,Middle price,2000-2010
4,"2 room apartment 54 m² in Prague, Czech Republic",Czech Republic,"Prague, Czech Republic",2023,4,2,4,54,314990.0,Europe,5,Middle price,2010on
6,"3 room apartment 72 m² in Minsk, Belarus",Belarus,"Minsk, Belarus",1955,4,4,3,72,122000.0,Europe,5,Middle price,1950-2000
7,"3 room apartment 100 m² in Minsk, Belarus",Belarus,"Minsk, Belarus",2013,16,2,3,100,159000.0,Europe,5,Middle price,2010on
16,"1 room apartment 55 m² in Akarca, Turkey",Turkey,"Akarca, Central Anatolia Region, Turkey",2021,6,2,2,55,314122.0,Europe,5,Middle price,2010on
17,"1 room studio apartment 23 m² in Pattaya, Thailand",Thailand,"Chon Buri Province, Pattaya, Thailand",2021,8,1,1,23,44993.0,Asia,3,Low price,2010on
21,"3 room apartment 105 m² in Mahmutlar, Turkey",Turkey,"Mahmutlar, Mediterranean Region, Alanya, Turkey",2023,12,12,4,105,290210.0,Europe,5,Middle price,2010on
26,"1 room studio apartment 43 m² in Mirzo Ulugbek district, Uzbekistan",Uzbekistan,"Mirzo Ulugbek district, Shaykhontohur Tumani, Uzbekistan",2024,9,3,1,43,92767.0,Asia,3,Low price,2010on
28,"2 room apartment 93 m² in Alanya, Turkey",Turkey,"Mediterranean Region, Sekerhane Mahallesi, Alanya, Turkey",2020,4,4,3,93,248071.0,Europe,5,Middle price,2010on
30,"1 room studio apartment 43 m² in Mirzo Ulugbek district, Uzbekistan",Uzbekistan,"Mirzo Ulugbek district, Shaykhontohur Tumani, Uzbekistan",2024,7,4,1,43,92767.0,Asia,3,Low price,2010on
31,"2 room apartment 130 m² in Alanya, Turkey",Turkey,"Mediterranean Region, Alanya, Turkey",2014,9,8,1,130,294511.0,Europe,5,Middle price,2010on
34,"3 room apartment 97 m² in Ciplakli, Turkey",Turkey,"Ciplakli, Mediterranean Region, Alanya, Turkey",2023,4,3,3,97,244559.0,Europe,5,Middle price,2010on
40,"Multilevel apartments 2 bedrooms 130 m² in Karakocali, Turkey",Turkey,"Karakocali, Mediterranean Region, Alanya, Turkey",2015,4,1,1,130,288793.0,Europe,5,Middle price,2010on
43,"1 room apartment 94 m² in Becici, Montenegro",Montenegro,"Becici, Sveti Stefan, Budva Municipality, Montenegro",2018,7,2,2,94,332057.0,Europe,5,Middle price,2010on
50,"Multilevel apartments 3 bedrooms 220 m² in Karakocali, Turkey",Turkey,"Karakocali, Mediterranean Region, Alanya, Turkey",2013,4,4,1,220,338143.0,Europe,5,Middle price,2010on
55,"4 room apartment 193 m² in Gazipasa, Turkey",Turkey,"Mediterranean Region, Gazipasa, Turkey",2023,7,6,4,193,182604.0,Europe,5,Middle price,2010on
60,"2 room apartment 45 m² in Karakocali, Turkey",Turkey,"Karakocali, Mediterranean Region, Alanya, Turkey",2009,5,2,3,45,310861.0,Europe,5,Middle price,2000-2010
62,"1 room studio apartment 39 m² in Mirzo Ulugbek district, Uzbekistan",Uzbekistan,"Mirzo Ulugbek district, Shaykhontohur Tumani, Uzbekistan",2024,9,3,1,39,84137.0,Asia,3,Low price,2010on
63,"Penthouse 4 bedrooms 210 m² in Antalya, Turkey",Turkey,"Mediterranean Region, Antalya, Turkey",2019,7,7,5,210,368469.0,Europe,5,Middle price,2010on
64,"3 room apartment 140 m² in Karakocali, Turkey",Turkey,"Karakocali, Mediterranean Region, Alanya, Turkey",2015,4,1,1,140,299461.0,Europe,5,Middle price,2010on
66,"3 room apartment 105 m² in Alanya, Turkey",Turkey,"Mediterranean Region, Sekerhane Mahallesi, Alanya, Turkey",2024,5,4,3,105,282601.0,Europe,5,Middle price,2010on
67,"2 room apartment 110 m² in Alanya, Turkey",Turkey,"Mediterranean Region, Sekerhane Mahallesi, Alanya, Turkey",2014,10,6,3,110,358686.0,Europe,5,Middle price,2010on
70,"2 room apartment 59 m² in Tashkent, Uzbekistan",Uzbekistan,"Tashkent, Yashnabad District, Uzbekistan",2022,15,5,2,59,67814.0,Asia,3,Low price,2010on
71,"2 room apartment 59 m² in Tashkent, Uzbekistan",Uzbekistan,"Tashkent, Yashnabad District, Uzbekistan",2022,15,15,2,59,72774.0,Asia,3,Low price,2010on
77,"3 room apartment 129 m² in Gazipasa, Turkey",Turkey,"Mediterranean Region, Gazipasa, Turkey",2023,7,6,3,129,286949.0,Europe,5,Middle price,2010on
79,"2 room apartment 57 m² in Tashkent, Uzbekistan",Uzbekistan,"Tashkent, Yashnabad District, Uzbekistan",2022,15,3,2,57,65702.0,Asia,3,Low price,2010on
80,"2 room apartment 55 m² in Tashkent, Uzbekistan",Uzbekistan,"Tashkent, Yashnabad District, Uzbekistan",2022,15,3,2,55,65951.0,Asia,3,Low price,2010on
97,"2 room apartment 110 m² in Akarca, Turkey",Turkey,"Akarca, Central Anatolia Region, Turkey",2016,10,7,3,110,286949.0,Europe,5,Middle price,2010on
98,"2 room apartment 55 m² in Tashkent, Uzbekistan",Uzbekistan,"Tashkent, Yashnabad District, Uzbekistan",2022,15,15,2,55,65738.0,Asia,3,Low price,2010on
99,"2 room apartment 95 m² in Mahmutlar, Turkey",Turkey,"Mahmutlar, Mediterranean Region, Alanya, Turkey",2020,12,1,3,95,315209.0,Europe,5,Middle price,2010on
100,"2 room apartment 57 m² in Tashkent, Uzbekistan",Uzbekistan,"Tashkent, Yashnabad District, Uzbekistan",2022,15,6,2,57,63881.0,Asia,3,Low price,2010on
102,"Penthouse 5 bedrooms 160 m² in Antalya, Turkey",Turkey,"Mediterranean Region, Antalya, Turkey",2023,3,3,6,160,344556.0,Europe,5,Middle price,2010on
104,"Multilevel apartments 3 bedrooms 112 m² in Alanya, Turkey",Turkey,"Mediterranean Region, Alanya, Turkey",2023,12,6,4,112,269967.0,Europe,5,Middle price,2010on
105,"2 room apartment 59 m² in Tashkent, Uzbekistan",Uzbekistan,"Tashkent, Yashnabad District, Uzbekistan",2022,15,8,2,59,69587.0,Asia,3,Low price,2010on
107,"3 room apartment 125 m² in Budva, Montenegro",Montenegro,"Budva, Bar, Bar Municipality, Montenegro",2021,3,2,4,125,619549.0,Europe,5,High price,2010on
111,"2 room apartment 60 m² in Tashkent, Uzbekistan",Uzbekistan,"Tashkent, Yashnabad District, Uzbekistan",2022,15,7,2,60,66922.0,Asia,3,Low price,2010on
112,"2 room apartment 59 m² in Tashkent, Uzbekistan",Uzbekistan,"Tashkent, Yashnabad District, Uzbekistan",2022,15,12,2,59,68113.0,Asia,3,Low price,2010on
113,"3 room apartment 140 m² in Bar, Montenegro",Montenegro,"Bar, Bar Municipality, Montenegro",2024,11,11,4,140,362778.0,Europe,5,Middle price,2010on
114,"3 room apartment 51 m² in Tashkent, Uzbekistan",Uzbekistan,"Tashkent, Yashnabad District, Uzbekistan",2024,9,1,3,51,60233.0,Asia,3,Low price,2010on
115,"1 room apartment 57 m² in Tashkent, Uzbekistan",Uzbekistan,"Tashkent, Yashnabad District, Uzbekistan",2024,9,2,1,57,65122.0,Asia,3,Low price,2010on
116,"1 room apartment 69 m² in Станишичи, Montenegro",Montenegro,"Станишичи, Budva Municipality, Montenegro",2023,8,5,2,69,336245.0,Europe,5,Middle price,2010on
120,"2 room apartment 60 m² in Tashkent, Uzbekistan",Uzbekistan,"Tashkent, Yashnabad District, Uzbekistan",2022,15,15,2,60,72049.0,Asia,3,Low price,2010on
124,"1 room apartment 44 m² in Tashkent, Uzbekistan",Uzbekistan,"Tashkent, Yashnabad District, Uzbekistan",2022,15,4,1,44,52494.0,Asia,3,Low price,2010on
125,"2 room apartment 59 m² in Tashkent, Uzbekistan",Uzbekistan,"Tashkent, Yashnabad District, Uzbekistan",2022,15,11,2,59,67632.0,Asia,3,Low price,2010on
127,"1 room apartment 70 m² in Marmara Region, Turkey",Turkey,"Marmara Region, Turkey",2022,15,5,1,70,177000.0,Europe,5,Middle price,2010on
132,"1 room apartment 42 m² in Marmara Region, Turkey",Turkey,"Marmara Region, Turkey",2024,6,6,1,42,258000.0,Europe,5,Middle price,2010on
137,"1 room apartment 79 m² in Krasici, Montenegro",Montenegro,"Krasici, Tivat Municipality, Montenegro",2023,3,2,2,79,324992.0,Europe,5,Middle price,2010on
138,"2 room apartment 76 m² in Rafailovici, Montenegro",Montenegro,"Rafailovici, Sveti Stefan, Budva Municipality, Montenegro",2021,9,9,3,76,498900.0,Europe,5,Middle price,2010on
141,"2 room apartment 57 m² in Alanya, Turkey",Turkey,"Mediterranean Region, Sekerhane Mahallesi, Alanya, Turkey",2023,10,4,2,57,201082.0,Europe,5,Middle price,2010on
144,"2 room apartment 110 m² in Alanya, Turkey",Turkey,"Mediterranean Region, Alanya, Turkey",2014,8,2,2,110,167076.0,Europe,5,Middle price,2010on
146,"3 room apartment 315 m² in Yoeruekali, Turkey",Turkey,"Yoeruekali, Marmara Region, Mudanya, Turkey",2022,6,1,4,315,184778.0,Europe,5,Middle price,2010on
149,"5 room apartment 160 m² in Ciplakli, Turkey",Turkey,"Ciplakli, Mediterranean Region, Alanya, Turkey",2023,4,3,5,160,163039.0,Europe,5,Middle price,2010on
150,"3 room apartment 99 m² in Yesiloez, Turkey",Turkey,"Yesiloez, Mediterranean Region, Alanya, Turkey",2023,8,7,3,99,183691.0,Europe,5,Middle price,2010on
152,"3 room apartment 120 m² in Elvanli, Turkey",Turkey,"Elvanli, Mediterranean Region, Mersin, Turkey",2024,13,9,3,120,146735.0,Europe,5,Middle price,2010on
162,"1 room apartment 55 m² in Gazipasa, Turkey",Turkey,"Mediterranean Region, Gazipasa, Turkey",2023,10,10,2,55,164739.0,Europe,5,Middle price,2010on
169,"3 room apartment 120 m² in Elvanli, Turkey",Turkey,"Elvanli, Mediterranean Region, Mersin, Turkey",2024,13,13,3,120,160322.0,Europe,5,Middle price,2010on
170,"2 room apartment 47 m² in Alanya, Turkey",Turkey,"Mediterranean Region, Sekerhane Mahallesi, Alanya, Turkey",2024,9,6,2,47,181517.0,Europe,5,Middle price,2010on
177,"1 room apartment 55 m² in Guezeloba, Turkey",Turkey,"Guezeloba, Mediterranean Region, Turkey",2024,3,1,2,55,189126.0,Europe,5,Middle price,2010on
182,"1 room apartment 57 m² in Budva, Montenegro",Montenegro,"Budva, Bar, Bar Municipality, Montenegro",2024,6,2,2,57,144665.0,Europe,5,Middle price,2010on
184,"2 room apartment 70 m² in Elvanli, Turkey",Turkey,"Elvanli, Mediterranean Region, Mersin, Turkey",2024,16,15,2,70,132605.0,Europe,5,Middle price,2010on
185,"2 room apartment 66 m² in Becici, Montenegro",Montenegro,"Becici, Montenegro",2020,7,4,3,66,128069.0,Europe,5,Middle price,2010on
188,"4 room apartment 150 m² in Mezitli, Turkey",Turkey,"Mediterranean Region, Mezitli, Turkey",2023,5,3,1,150,253000.0,Europe,5,Middle price,2010on
189,"1 room apartment 51 m² in Alanya, Turkey",Turkey,"Mediterranean Region, Alanya, Turkey",2023,4,1,2,51,148757.0,Europe,5,Middle price,2010on
190,"3 room apartment 155 m² in Antalya, Turkey",Turkey,"Mediterranean Region, Antalya, Turkey",2004,13,6,4,155,249993.0,Europe,5,Middle price,2000-2010
192,"2 room apartment 120 m² in Alanya, Turkey",Turkey,"Mediterranean Region, Sekerhane Mahallesi, Alanya, Turkey",2008,10,2,3,120,220646.0,Europe,5,Middle price,2000-2010
195,"3 room apartment 105 m² in Alanya, Turkey",Turkey,"Mediterranean Region, Sekerhane Mahallesi, Alanya, Turkey",2024,5,4,3,105,271732.0,Europe,5,Middle price,2010on
198,"Penthouse 1 bedroom 75 m² in Muratpasa, Turkey",Turkey,"Muratpasa, Mediterranean Region, Turkey",2024,4,4,2,75,284775.0,Europe,5,Middle price,2010on
199,"1 room apartment 62 m² in Alanya, Turkey",Turkey,"Mediterranean Region, Alanya, Turkey",2024,12,5,1,62,265298.0,Europe,5,Middle price,2010on
205,"3 room apartment 110 m² in Alanya, Turkey",Turkey,"Mediterranean Region, Sekerhane Mahallesi, Alanya, Turkey",2023,4,3,4,110,265000.0,Europe,5,Middle price,2010on
211,"3 room apartment 115 m² in Yesiloez, Turkey",Turkey,"Yesiloez, Mediterranean Region, Alanya, Turkey",2023,9,8,3,115,119019.0,Europe,5,Middle price,2010on
212,"2 room apartment 45 m² in Alanya, Turkey",Turkey,"Mediterranean Region, Sekerhane Mahallesi, Alanya, Turkey",2024,5,3,2,45,165213.0,Europe,5,Middle price,2010on
213,"2 room apartment 80 m² in Karakocali, Turkey",Turkey,"Karakocali, Mediterranean Region, Alanya, Turkey",2023,4,1,3,80,167387.0,Europe,5,Middle price,2010on
218,"4 room apartment 108 m² in Ciplakli, Turkey",Turkey,"Ciplakli, Mediterranean Region, Alanya, Turkey",2023,14,13,4,108,163039.0,Europe,5,Middle price,2010on
219,"3 room apartment 145 m² in Akarca, Turkey",Turkey,"Akarca, Central Anatolia Region, Turkey",2023,4,1,4,145,215212.0,Europe,5,Middle price,2010on
224,"4 room apartment 108 m² in Ciplakli, Turkey",Turkey,"Ciplakli, Mediterranean Region, Alanya, Turkey",2023,5,2,4,108,148366.0,Europe,5,Middle price,2010on
230,"4 room apartment 160 m² in Elvanli, Turkey",Turkey,"Elvanli, Mediterranean Region, Mersin, Turkey",2024,16,4,4,160,251080.0,Europe,5,Middle price,2010on
237,"3 room apartment 100 m² in Elvanli, Turkey",Turkey,"Elvanli, Mediterranean Region, Mersin, Turkey",2024,16,13,3,100,124997.0,Europe,5,Middle price,2010on
242,"1 room apartment 60 m² in Turkey, Turkey",Turkey,Turkey,2024,5,2,2,60,122568.0,Europe,5,Middle price,2010on
246,"1 room apartment 80 m² in Antalya, Turkey",Turkey,"Mediterranean Region, Antalya, Turkey",2015,4,2,1,80,174142.0,Europe,5,Middle price,2010on
249,"2 room apartment 120 m² in Akarca, Turkey",Turkey,"Akarca, Central Anatolia Region, Turkey",2013,4,1,3,120,224994.0,Europe,5,Middle price,2010on
252,"1 room apartment 52 m² in Mediterranean Region, Turkey",Turkey,"Mediterranean Region, Turkey",2024,5,2,2,52,143251.0,Europe,5,Middle price,2010on
255,"2 room apartment 126 m² in Marmara Region, Turkey",Turkey,"Marmara Region, Turkey",2021,12,4,3,126,250000.0,Europe,5,Middle price,2010on
258,"1 room apartment 55 m² in Yalci, Turkey",Turkey,"Yalci, Mediterranean Region, Alanya, Turkey",2022,4,2,2,55,138040.0,Europe,5,Middle price,2010on
260,"1 room apartment 55 m² in Alanya, Turkey",Turkey,"Mediterranean Region, Alanya, Turkey",2023,5,3,2,55,138149.0,Europe,5,Middle price,2010on
264,"1 room apartment 77 m² in Belek, Turkey",Turkey,"Belek, Mediterranean Region, Antalya, Turkey",2023,3,2,2,77,190212.0,Europe,5,Middle price,2010on
265,"1 room apartment 57 m² in Alanya, Turkey",Turkey,"Mediterranean Region, Alanya, Turkey",2023,4,4,2,57,131127.0,Europe,5,Middle price,2010on
269,"1 room apartment 57 m² in Alanya, Turkey",Turkey,"Mediterranean Region, Alanya, Turkey",2022,5,5,2,57,222000.0,Europe,5,Middle price,2010on
273,"3 room apartment 165 m² in Kepez, Turkey",Turkey,"Kepez, Mediterranean Region, Turkey",2022,7,4,1,165,218921.0,Europe,5,Middle price,2010on
274,"1 room apartment 75 m² in Alanya, Turkey",Turkey,"Mediterranean Region, Alanya, Turkey",2019,12,8,1,75,222987.0,Europe,5,Middle price,2010on
275,"1 room apartment 50 m² in Coerues, Turkey",Turkey,"Coerues, Mediterranean Region, Gazipasa, Turkey",2022,7,3,2,50,173909.0,Europe,5,Middle price,2010on
278,"3 room apartment 155 m² in Bueyuekkumla, Turkey",Turkey,"Bueyuekkumla, Marmara Region, Gemlik, Turkey",2023,4,2,4,155,160865.0,Europe,5,Middle price,2010on
279,"2 room apartment 117 m² in Mediterranean Region, Turkey",Turkey,"Mediterranean Region, Turkey",2017,10,8,3,117,136404.0,Europe,5,Middle price,2010on
280,"Penthouse 2 bedrooms 150 m² in Mahmutlar, Turkey",Turkey,"Mahmutlar, Mediterranean Region, Alanya, Turkey",2023,11,11,3,150,292384.0,Europe,5,Middle price,2010on
285,"1 room apartment 62 m² in Karakocali, Turkey",Turkey,"Karakocali, Mediterranean Region, Alanya, Turkey",2021,5,2,2,62,161952.0,Europe,5,Middle price,2010on
287,"1 room apartment 87 m² in Yenbey, Turkey",Turkey,"Yenbey, Mediterranean Region, Kumluca, Turkey",2022,9,7,1,87,131353.0,Europe,5,Middle price,2010on
291,"2 room apartment 120 m² in Alanya, Turkey",Turkey,"Mediterranean Region, Alanya, Turkey",2012,12,3,3,120,171738.0,Europe,5,Middle price,2010on
292,"3 room apartment 81 m² in Payallar, Turkey",Turkey,"Payallar, Mediterranean Region, Alanya, Turkey",2023,4,3,3,81,173909.0,Europe,5,Middle price,2010on
297,"2 room apartment 56 m² in Alanya, Turkey",Turkey,"Mediterranean Region, Sekerhane Mahallesi, Alanya, Turkey",2024,9,7,2,56,173909.0,Europe,5,Middle price,2010on
307,"1 room apartment 50 m² in Alanya, Turkey",Turkey,"Mediterranean Region, Alanya, Turkey",2023,11,10,2,50,235000.0,Europe,5,Middle price,2010on
315,"2 room apartment 116 m² in Payallar, Turkey",Turkey,"Payallar, Mediterranean Region, Alanya, Turkey",2023,12,5,3,116,138040.0,Europe,5,Middle price,2010on
316,"2 room apartment 100 m² in Beylikduezue, Turkey",Turkey,"Beylikduezue, Marmara Region, Turkey",2017,5,4,2,100,150000.0,Europe,5,Middle price,2010on
317,"4 room apartment 155 m² in Yesiloez, Turkey",Turkey,"Yesiloez, Mediterranean Region, Alanya, Turkey",2024,9,9,5,155,238037.0,Europe,5,Middle price,2010on
320,"3 room apartment 74 m² in Alanya, Turkey",Turkey,"Mediterranean Region, Sekerhane Mahallesi, Alanya, Turkey",2024,9,2,3,74,211951.0,Europe,5,Middle price,2010on
322,"3 room apartment 174 m² in Goeruekle Mahallesi, Turkey",Turkey,"Marmara Region, Goeruekle Mahallesi, Niluefer, Turkey",2023,6,1,4,174,143475.0,Europe,5,Middle price,2010on
323,"1 room apartment 85 m² in Alanya, Turkey",Turkey,"Mediterranean Region, Sekerhane Mahallesi, Alanya, Turkey",2023,9,1,2,85,244559.0,Europe,5,Middle price,2010on
325,"1 room apartment 65 m² in Karakocali, Turkey",Turkey,"Karakocali, Mediterranean Region, Alanya, Turkey",2016,5,2,2,65,157605.0,Europe,5,Middle price,2010on
327,"3 room apartment 128 m² in Mudanya, Turkey",Turkey,"Mudanya, Marmara Region, Bursa, Turkey",2023,5,1,4,128,211951.0,Europe,5,Middle price,2010on
331,"2 room apartment 105 m² in Etimesgut, Turkey",Turkey,"Etimesgut, Central Anatolia Region, Ankara, Yenimahalle, Turkey",2022,22,10,3,105,133692.0,Europe,5,Middle price,2010on
332,"1 room apartment 49 m² in Turkey, Turkey",Turkey,Turkey,2024,8,1,2,49,145676.0,Europe,5,Middle price,2010on
333,"3 room apartment 191 m² in Goeruekle Mahallesi, Turkey",Turkey,"Marmara Region, Goeruekle Mahallesi, Niluefer, Turkey",2024,8,1,4,191,145648.0,Europe,5,Middle price,2010on
335,"3 room apartment 100 m² in Elvanli, Turkey",Turkey,"Elvanli, Mediterranean Region, Mersin, Turkey",2024,16,12,3,100,130431.0,Europe,5,Middle price,2010on
338,"4 room apartment 500 m² in Kusadasi, Turkey",Turkey,"Aegean Region, Tuerkmen Mahallesi, Kusadasi, Turkey",2019,2,2,4,500,241238.0,Europe,5,Middle price,2010on
341,"1 room apartment 65 m² in Mahmutlar, Turkey",Turkey,"Mahmutlar, Mediterranean Region, Alanya, Turkey",2020,12,2,2,65,201082.0,Europe,5,Middle price,2010on
342,"4 room apartment 109 m² in Avsallar, Turkey",Turkey,"Avsallar, Mediterranean Region, Alanya, Turkey",2023,9,8,4,109,168474.0,Europe,5,Middle price,2010on
348,"2 room apartment 90 m² in Ciplakli, Turkey",Turkey,"Ciplakli, Mediterranean Region, Alanya, Turkey",2010,5,2,3,90,224994.0,Europe,5,Middle price,2010on
354,"2 room apartment 70 m² in Karakocali, Turkey",Turkey,"Karakocali, Mediterranean Region, Alanya, Turkey",2020,5,1,3,70,131518.0,Europe,5,Middle price,2010on
355,"3 room apartment 130 m² in Ciftlikkoey, Turkey",Turkey,"Marmara Region, Ciftlikkoey, Turkey",2018,4,2,4,130,147822.0,Europe,5,Middle price,2010on
375,"3 room apartment 70 m² in Payallar, Turkey",Turkey,"Payallar, Mediterranean Region, Alanya, Turkey",2023,5,2,3,70,134670.0,Europe,5,Middle price,2010on
378,"3 room apartment 69 m² in Alanya, Turkey",Turkey,"Mediterranean Region, Sekerhane Mahallesi, Alanya, Turkey",2024,5,1,3,69,194560.0,Europe,5,Middle price,2010on
381,"1 room apartment 70 m² in Karakocali, Turkey",Turkey,"Karakocali, Mediterranean Region, Alanya, Turkey",2016,4,2,2,70,137496.0,Europe,5,Middle price,2010on
384,"2 room apartment 85 m² in Alanya, Turkey",Turkey,"Mediterranean Region, Alanya, Turkey",2023,4,3,3,85,164500.0,Europe,5,Middle price,2010on
385,"1 room apartment 45 m² in Mahmutlar, Turkey",Turkey,"Mahmutlar, Mediterranean Region, Alanya, Turkey",2021,10,5,2,45,155431.0,Europe,5,Middle price,2010on
386,"2 room apartment 110 m² in Akarca, Turkey",Turkey,"Akarca, Central Anatolia Region, Turkey",2007,10,8,3,110,209777.0,Europe,5,Middle price,2000-2010
389,"3 room apartment 105 m² in Elvanli, Turkey",Turkey,"Elvanli, Mediterranean Region, Mersin, Turkey",2024,16,12,3,105,129344.0,Europe,5,Middle price,2010on
399,"4 room apartment 230 m² in Mezitli, Turkey",Turkey,"Mediterranean Region, Mezitli, Turkey",2023,20,1,1,230,197000.0,Europe,5,Middle price,2010on
403,"2 room apartment 75 m² in Elvanli, Turkey",Turkey,"Elvanli, Mediterranean Region, Mersin, Turkey",2024,13,10,2,75,106519.0,Europe,5,Middle price,2010on
405,"3 room apartment 130 m² in Ciplakli, Turkey",Turkey,"Ciplakli, Mediterranean Region, Alanya, Turkey",2023,7,6,3,130,139127.0,Europe,5,Middle price,2010on
407,"2 room apartment 50 m² in Alanya, Turkey",Turkey,"Mediterranean Region, Sekerhane Mahallesi, Alanya, Turkey",2024,9,5,2,50,173909.0,Europe,5,Middle price,2010on
410,"1 room apartment 65 m² in Akarca, Turkey",Turkey,"Akarca, Central Anatolia Region, Turkey",2023,4,3,2,65,179343.0,Europe,5,Middle price,2010on
414,"3 room apartment 105 m² in Elvanli, Turkey",Turkey,"Elvanli, Mediterranean Region, Mersin, Turkey",2024,16,10,3,105,129344.0,Europe,5,Middle price,2010on
415,"2 room apartment 110 m² in Mediterranean Region, Turkey",Turkey,"Mediterranean Region, Turkey",2016,4,3,3,110,127743.0,Europe,5,Middle price,2010on
421,"1 room apartment 45 m² in Avsallar, Turkey",Turkey,"Avsallar, Mediterranean Region, Alanya, Turkey",2022,8,4,2,45,98910.0,Europe,5,Low price,2010on
422,"1 room apartment 55 m² in Alanya, Turkey",Turkey,"Mediterranean Region, Alanya, Turkey",2008,5,3,1,55,102878.0,Europe,5,Middle price,2000-2010
429,"1 room apartment 41 m² in Alanya, Turkey",Turkey,"Mediterranean Region, Alanya, Turkey",2023,5,2,1,41,119980.0,Europe,5,Middle price,2010on
432,"3 room apartment 147 m² in Marmara Region, Turkey",Turkey,"Marmara Region, Turkey",2022,38,1,4,147,166300.0,Europe,5,Middle price,2010on
438,"2 room apartment 95 m² in Kuzucu, Turkey",Turkey,"Kuzucu, Mediterranean Region, Mezitli, Turkey",2024,15,11,2,95,103258.0,Europe,5,Middle price,2010on
444,"3 room apartment 155 m² in Gemlik, Turkey",Turkey,"Marmara Region, Gemlik, Turkey",1998,11,1,4,155,85324.0,Europe,5,Low price,1950-2000
453,"2 room apartment 70 m² in Elvanli, Turkey",Turkey,"Elvanli, Mediterranean Region, Mersin, Turkey",2024,16,12,2,70,94563.0,Europe,5,Low price,2010on
457,"3 room apartment 105 m² in Elvanli, Turkey",Turkey,"Elvanli, Mediterranean Region, Mersin, Turkey",2024,16,4,3,105,121736.0,Europe,5,Middle price,2010on
460,"1 room apartment 54 m² in Incekum, Turkey",Turkey,"Incekum, Mediterranean Region, Alanya, Turkey",2023,8,8,2,54,80487.0,Europe,5,Low price,2010on
462,"2 room apartment 73 m² in Elvanli, Turkey",Turkey,"Elvanli, Mediterranean Region, Mersin, Turkey",2024,16,1,2,73,85867.0,Europe,5,Low price,2010on
468,"2 room apartment 100 m² in Belek, Turkey",Turkey,"Belek, Mediterranean Region, Antalya, Turkey",2006,3,1,3,100,184778.0,Europe,5,Middle price,2000-2010
470,"1 room apartment 52 m² in Mersin, Turkey",Turkey,"Mediterranean Region, Mersin, Turkey",2023,14,1,2,52,84292.0,Europe,5,Low price,2010on
471,"1 room apartment 50 m² in Alanya, Turkey",Turkey,"Mediterranean Region, Sekerhane Mahallesi, Alanya, Turkey",2023,6,5,2,50,123910.0,Europe,5,Middle price,2010on
473,"1 room apartment 62 m² in Mediterranean Region, Turkey",Turkey,"Mediterranean Region, Turkey",2023,4,1,2,62,154035.0,Europe,5,Middle price,2010on
476,"3 room apartment 100 m² in Elvanli, Turkey",Turkey,"Elvanli, Mediterranean Region, Mersin, Turkey",2024,16,13,3,100,173909.0,Europe,5,Middle price,2010on
478,"3 room apartment 150 m² in Mersin, Turkey",Turkey,"Mediterranean Region, Mersin, Turkey",2024,15,14,3,150,120649.0,Europe,5,Middle price,2010on
479,"2 room apartment 70 m² in Elvanli, Turkey",Turkey,"Elvanli, Mediterranean Region, Mersin, Turkey",2024,16,2,2,70,81520.0,Europe,5,Low price,2010on
480,"2 room apartment 70 m² in Elvanli, Turkey",Turkey,"Elvanli, Mediterranean Region, Mersin, Turkey",2024,16,6,2,70,88041.0,Europe,5,Low price,2010on
484,"1 room apartment 57 m² in Payallar, Turkey",Turkey,"Payallar, Mediterranean Region, Alanya, Turkey",2024,3,3,2,57,101950.0,Europe,5,Middle price,2010on
487,"Penthouse 2 bedrooms 130 m² in Antalya, Turkey",Turkey,"Mediterranean Region, Antalya, Turkey",2024,8,8,3,130,160865.0,Europe,5,Middle price,2010on
488,"1 room apartment 50 m² in Incekum, Turkey",Turkey,"Incekum, Mediterranean Region, Alanya, Turkey",2023,7,1,1,50,96507.0,Europe,5,Low price,2010on
489,"3 room apartment 90 m² in Ciplakli, Turkey",Turkey,"Ciplakli, Mediterranean Region, Alanya, Turkey",2023,5,2,3,90,91845.0,Europe,5,Low price,2010on
492,"1 room apartment 85 m² in Mersin, Turkey",Turkey,"Mediterranean Region, Mersin, Turkey",2018,12,1,2,85,129344.0,Europe,5,Middle price,2010on
493,"2 room apartment 70 m² in Elvanli, Turkey",Turkey,"Elvanli, Mediterranean Region, Mersin, Turkey",2024,16,11,2,70,93476.0,Europe,5,Low price,2010on
495,"2 room apartment 73 m² in Elvanli, Turkey",Turkey,"Elvanli, Mediterranean Region, Mersin, Turkey",2024,16,10,2,73,95650.0,Europe,5,Low price,2010on
497,"2 room apartment 70 m² in Elvanli, Turkey",Turkey,"Elvanli, Mediterranean Region, Mersin, Turkey",2024,16,9,2,70,91302.0,Europe,5,Low price,2010on
498,"2 room apartment 90 m² in Mersin, Turkey",Turkey,"Mediterranean Region, Mersin, Turkey",2024,15,10,2,90,89128.0,Europe,5,Low price,2010on
506,"1 room apartment 165 m² in Termal, Turkey",Turkey,"Termal, Marmara Region, Bursa, Turkey",2023,4,1,2,165,170648.0,Europe,5,Middle price,2010on
