,title,country,location,building_construction_year,building_total_floors,apartment_floor,apartment_rooms,apartment_total_area,price_in_USD,Continent
3,"1 room apartment 28 m² in Batumi, Georgia",Georgia,"Abkhazia, Batumi, Georgia",2026,,,1.0,28.0,35622.0,Asia
7,"Penthouse 1 bedroom 96 m² in Kyrenia, Northern Cyprus",Northern Cyprus,"Kyrenia, Girne (Kyrenia) District, Northern Cyprus",2027,1.0,,2.0,96.0,199268.0,Europe
77,"2 room apartment 92 m² in Karakocali, Turkey",Turkey,"Karakocali, Mediterranean Region, Alanya, Turkey",2025,11.0,1.0,2.0,92.0,286406.0,Europe
115,"1 room apartment 70 m² in Istanbul, Turkey",Turkey,"Marmara Region, Istanbul, Turkey",2025,14.0,,2.0,70.0,241298.0,Europe
142,"1 room apartment 76 m² in Tashkent, Uzbekistan",Uzbekistan,"Tashkent, Chilanzar District, Uzbekistan",2025,11.0,8.0,2.0,76.0,90021.0,Asia
149,"1 room apartment 63 m² in Marmara Region, Turkey",Turkey,"Marmara Region, Turkey",2025,15.0,,2.0,63.0,266297.0,Europe
190,"2 room apartment 68 m² in Tashkent, Uzbekistan",Uzbekistan,"Tashkent, Yashnabad District, Uzbekistan",2025,12.0,2.0,3.0,68.0,76242.0,Asia
305,"2 room apartment 67 m² in Tashkent, Uzbekistan",Uzbekistan,"Tashkent, Yashnabad District, Uzbekistan",2025,12.0,12.0,3.0,67.0,71246.0,Asia
350,"2 room apartment 125 m² in Muratpasa, Turkey",Turkey,"Muratpasa, Mediterranean Region, Turkey",2025,5.0,,3.0,125.0,294148.0,Europe
381,"1 room apartment 73 m² in Ishakli, Turkey",Turkey,"Ishakli, Mediterranean Region, Alanya, Turkey",2025,,,2.0,73.0,317383.0,Europe
479,"1 room apartment 50 m² in Ciplakli, Turkey",Turkey,"Ciplakli, Mediterranean Region, Alanya, Turkey",2025,8.0,4.0,2.0,50.0,197410.0,Europe
546,"2 room apartment 112 m² in Mezitli, Turkey",Turkey,"Mezitli, Mediterranean Region, Mersin, Turkey",2025,14.0,,3.0,112.0,166300.0,Europe
562,"1 room apartment 72 m² in Yesilkoey, Turkey",Turkey,"Yesilkoey, Mediterranean Region, Antalya, Turkey",2025,8.0,,2.0,72.0,161000.0,Europe
639,"1 room apartment 60 m² in Karakocali, Turkey",Turkey,"Karakocali, Mediterranean Region, Alanya, Turkey",2025,4.0,1.0,1.0,60.0,174939.0,Europe
744,"6 room apartment 46 m² in Alanya, Turkey",Turkey,"Mediterranean Region, Sekerhane Mahallesi, Alanya, Turkey",2025,,1.0,6.0,46.0,180430.0,Europe
952,"2 room apartment 77 m² in Antalya, Turkey",Turkey,"Mediterranean Region, Antalya, Turkey",2025,10.0,,3.0,77.0,131518.0,Europe
974,"1 room apartment 48 m² in Budva, Montenegro",Montenegro,"Budva, Bar, Bar Municipality, Montenegro",2025,4.0,1.0,,48.0,219431.0,Europe
1001,"2 room apartment 86 m² in Karakocali, Turkey",Turkey,"Karakocali, Mediterranean Region, Alanya, Turkey",2025,5.0,,3.0,86.0,255428.0,Europe
1095,"5 room apartment 52 m² in Karakocali, Turkey",Turkey,"Karakocali, Mediterranean Region, Alanya, Turkey",2025,,1.0,5.0,52.0,183691.0,Europe
1190,"3 room apartment 56 m² in Alanya, Turkey",Turkey,"Mediterranean Region, Sekerhane Mahallesi, Alanya, Turkey",2025,,1.0,3.0,56.0,135866.0,Europe
1214,"3 room apartment 122 m² in Kartal, Turkey",Turkey,"Kartal, Marmara Region, Turkey",2025,22.0,1.0,4.0,122.0,240000.0,Europe
1297,"Penthouse 2 bedrooms 121 m² in Avsallar, Turkey",Turkey,"Avsallar, Mediterranean Region, Alanya, Turkey",2025,6.0,5.0,3.0,121.0,206516.0,Europe
1300,"2 room apartment 91 m² in Antalya, Turkey",Turkey,"Mediterranean Region, Antalya, Turkey",2025,9.0,,3.0,91.0,190212.0,Europe
1317,"1 room apartment 60 m² in Yaylali, Turkey",Turkey,"Yaylali, Mediterranean Region, Alanya, Turkey",2025,,,2.0,60.0,195647.0,Europe
1380,"1 room apartment 42 m² in Koyunlar, Turkey",Turkey,"Koyunlar, Mediterranean Region, Antalya, Turkey",2025,6.0,,2.0,42.0,140214.0,Europe
1382,"1 room apartment 50 m² in Akarca, Turkey",Turkey,"Akarca, Central Anatolia Region, Turkey",2025,6.0,,2.0,50.0,124997.0,Europe
1582,"1 room apartment 42 m² in Payallar, Turkey",Turkey,"Payallar, Mediterranean Region, Alanya, Turkey",2025,8.0,,2.0,42.0,124997.0,Europe
1653,"1 room apartment 72 m² in Mezitli, Turkey",Turkey,"Mezitli, Mediterranean Region, Mersin, Turkey",2025,13.0,,2.0,72.0,92389.0,Europe
1690,"1 room apartment 49 m² in Karakocali, Turkey",Turkey,"Karakocali, Mediterranean Region, Alanya, Turkey",2025,5.0,,2.0,49.0,120649.0,Europe
1706,"1 room apartment 45 m² in Elvanli, Turkey",Turkey,"Elvanli, Mediterranean Region, Mersin, Turkey",2025,14.0,,2.0,45.0,68476.0,Europe
1750,"1 room apartment 54 m² in Mersin, Turkey",Turkey,"Mediterranean Region, Mersin, Turkey",2025,8.0,,2.0,54.0,58806.0,Europe
1757,"2 room apartment 138 m² in Ciftepinar, Turkey",Turkey,"Ciftepinar, Mediterranean Region, Erdemli, Turkey",2025,15.0,,3.0,138.0,110867.0,Europe
1928,"1 room apartment 50 m² in Coerues, Turkey",Turkey,"Coerues, Mediterranean Region, Gazipasa, Turkey",2025,7.0,,2.0,50.0,111954.0,Europe
1950,"3 room apartment 82 m² in Erdemli, Turkey",Turkey,"Mediterranean Region, Erdemli, Turkey",2025,,1.0,3.0,82.0,110867.0,Europe
2123,"1 room apartment 59 m² in Alanya, Turkey",Turkey,"Mediterranean Region, Alanya, Turkey",2025,5.0,1.0,2.0,59.0,196088.0,Europe
2172,"2 room apartment 74 m² in Karakocali, Turkey",Turkey,"Karakocali, Mediterranean Region, Alanya, Turkey",2025,5.0,,3.0,74.0,179343.0,Europe
2255,"1 room apartment 65 m² in Izmit, Turkey",Turkey,"Marmara Region, Izmit, Turkey",2025,6.0,3.0,2.0,65.0,90268.0,Europe
2333,"1 room apartment 58 m² in Avsallar, Turkey",Turkey,"Avsallar, Mediterranean Region, Alanya, Turkey",2025,5.0,1.0,2.0,58.0,114127.0,Europe
2342,"1 room apartment 47 m² in Ciftepinar, Turkey",Turkey,"Ciftepinar, Mediterranean Region, Erdemli, Turkey",2025,12.0,,2.0,47.0,66303.0,Europe
2362,"1 room apartment 49 m² in Akarca, Turkey",Turkey,"Akarca, Central Anatolia Region, Turkey",2027,,,2.0,49.0,115160.0,Europe
2398,"1 room apartment 51 m² in Alanya, Turkey",Turkey,"Mediterranean Region, Alanya, Turkey",2025,12.0,1.0,2.0,51.0,133232.0,Europe
2423,"2 room apartment 54 m² in Elvanli, Turkey",Turkey,"Elvanli, Mediterranean Region, Mersin, Turkey",2025,9.0,1.0,2.0,54.0,60543.0,Europe
2488,"1 room studio apartment 35 m² in Mersin, Turkey",Turkey,"Mediterranean Region, Turkey",2025,8.0,2.0,1.0,35.0,42922.0,Europe
2516,"1 room apartment 54 m² in Elvanli, Turkey",Turkey,"Elvanli, Mediterranean Region, Mersin, Turkey",2025,8.0,,2.0,54.0,59781.0,Europe
2550,"1 room apartment 39 m² in Mersin, Turkey",Turkey,"Mediterranean Region, Mersin, Turkey",2025,8.0,,1.0,39.0,42442.0,Europe
2569,"1 room apartment 35 m² in Akarca, Turkey",Turkey,"Akarca, Central Anatolia Region, Turkey",2025,10.0,,1.0,35.0,38586.0,Europe
2624,"1 room studio apartment 35 m² in Mersin, Turkey",Turkey,"Mediterranean Region, Turkey",2025,8.0,1.0,1.0,35.0,34653.0,Europe
2629,"1 room apartment 63 m² in Mersin, Turkey",Turkey,"Mediterranean Region, Turkey",2025,14.0,2.0,2.0,63.0,34247.0,Europe
2644,"3 room apartment 40 m² in Alanya, Turkey",Turkey,"Mediterranean Region, Sekerhane Mahallesi, Alanya, Turkey",2025,,1.0,3.0,40.0,102171.0,Europe
2664,"1 room apartment 60 m² in Yalinayak, Turkey",Turkey,"Yalinayak, Toroslar, Mediterranean Region, Turkey",2025,8.0,3.0,2.0,60.0,30236.0,Europe
2695,"1 room apartment 39 m² in Mersin, Turkey",Turkey,"Mediterranean Region, Mersin, Turkey",2025,8.0,2.0,2.0,39.0,21850.0,Europe
2743,"2 room apartment 95 m² in Karakocali, Turkey",Turkey,"Karakocali, Mediterranean Region, Alanya, Turkey",2025,10.0,2.0,2.0,95.0,290753.0,Europe
2765,"1 room apartment 68 m² in Marmara Region, Turkey",Turkey,"Marmara Region, Turkey",2025,,,2.0,68.0,251080.0,Europe
2822,"1 room apartment 47 m² in Ciplakli, Turkey",Turkey,"Ciplakli, Mediterranean Region, Alanya, Turkey",2025,8.0,5.0,2.0,47.0,184150.0,Europe
2850,"3 room apartment 143 m² in Istanbul, Turkey",Turkey,"Marmara Region, Istanbul, Turkey",2025,16.0,,4.0,143.0,489000.0,Europe
3024,"2 room apartment 90 m² in Marmara Region, Turkey",Turkey,"Marmara Region, Turkey",2025,,,3.0,90.0,386946.0,Europe
3076,"Penthouse 1 bedroom 75 m² in Ishakli, Turkey",Turkey,"Ishakli, Mediterranean Region, Alanya, Turkey",2025,,,2.0,75.0,423902.0,Europe
3117,"3 room apartment 62 m² in Alanya, Turkey",Turkey,"Mediterranean Region, Sekerhane Mahallesi, Alanya, Turkey",2025,,1.0,3.0,62.0,271732.0,Europe
3176,"2 room apartment 104 m² in Yaylali, Turkey",Turkey,"Yaylali, Mediterranean Region, Alanya, Turkey",2025,,,3.0,104.0,489118.0,Europe
3201,"1 room apartment 80 m² in Ueskuedar, Turkey",Turkey,"Ueskuedar, Marmara Region, Turkey",2025,7.0,2.0,2.0,80.0,440000.0,Europe
3227,"2 room apartment 95 m² in Karakocali, Turkey",Turkey,"Karakocali, Mediterranean Region, Alanya, Turkey",2025,10.0,6.0,2.0,95.0,304883.0,Europe
3254,"3 room apartment 163 m² in Karakocali, Turkey",Turkey,"Karakocali, Mediterranean Region, Alanya, Turkey",2025,10.0,2.0,3.0,163.0,451619.0,Europe
3261,"3 room apartment 126 m² in Kepez, Turkey",Turkey,"Kepez, Mediterranean Region, Turkey",2025,10.0,,4.0,126.0,294230.0,Europe
3295,"1 room apartment 50 m² in Koyunlar, Turkey",Turkey,"Koyunlar, Mediterranean Region, Antalya, Turkey",2025,5.0,,2.0,50.0,187495.0,Europe
3351,"Penthouse 4 bedrooms 205 m² in Mahmutlar, Turkey",Turkey,"Mahmutlar, Mediterranean Region, Alanya, Turkey",2025,,,5.0,205.0,521726.0,Europe
3482,"2 room apartment 92 m² in Karakocali, Turkey",Turkey,"Karakocali, Mediterranean Region, Alanya, Turkey",2025,11.0,5.0,2.0,92.0,304883.0,Europe
3485,"2 room apartment 95 m² in Karakocali, Turkey",Turkey,"Karakocali, Mediterranean Region, Alanya, Turkey",2025,10.0,4.0,2.0,95.0,298362.0,Europe
3513,"Penthouse 5 bedrooms 245 m² in Ciplakli, Turkey",Turkey,"Ciplakli, Mediterranean Region, Alanya, Turkey",2025,6.0,,6.0,245.0,622810.0,Europe
3532,"Penthouse 3 bedrooms 156 m² in Avsallar, Turkey",Turkey,"Avsallar, Mediterranean Region, Alanya, Turkey",2025,,,4.0,156.0,286949.0,Europe
3586,"Penthouse 4 bedrooms 190 m² in Ciplakli, Turkey",Turkey,"Ciplakli, Mediterranean Region, Alanya, Turkey",2025,6.0,,5.0,190.0,552160.0,Europe
3784,"3 room apartment 165 m² in Ishakli, Turkey",Turkey,"Ishakli, Mediterranean Region, Alanya, Turkey",2025,,,4.0,165.0,807588.0,Europe
3833,"3 room apartment 135 m² in Yaylali, Turkey",Turkey,"Yaylali, Mediterranean Region, Alanya, Turkey",2025,,,4.0,135.0,543464.0,Europe
3912,"Penthouse 4 bedrooms 308 m² in Ishakli, Turkey",Turkey,"Ishakli, Mediterranean Region, Alanya, Turkey",2025,,,5.0,308.0,1760824.0,Europe
4058,"4 room apartment 212 m² in Istanbul, Turkey",Turkey,"Marmara Region, Istanbul, Turkey",2025,10.0,,5.0,212.0,2304288.0,Europe
4086,"Condo 3 bedrooms 167 m² in Marmara Region, Turkey",Turkey,"Marmara Region, Turkey",2025,13.0,8.0,4.0,167.0,3204971.0,Europe
4276,"3 room apartment 169 m² in Istanbul, Turkey",Turkey,"Marmara Region, Istanbul, Turkey",2025,10.0,,4.0,169.0,1766258.0,Europe
4334,"2 room apartment 147 m² in Maslak Mahallesi, Turkey",Turkey,"Marmara Region, Maslak Mahallesi, Turkey",2025,41.0,,3.0,147.0,1711912.0,Europe
4347,"2 room apartment 92 m² in Karakocali, Turkey",Turkey,"Karakocali, Mediterranean Region, Alanya, Turkey",2025,11.0,2.0,2.0,92.0,295101.0,Europe
4476,"2 room apartment 110 m² in Yuezuencueyil Mahallesi, Turkey",Turkey,"Marmara Region, Yuezuencueyil Mahallesi, Niluefer, Turkey",2025,10.0,1.0,3.0,110.0,181517.0,Europe
4526,"1 room apartment 47 m² in Ciplakli, Turkey",Turkey,"Ciplakli, Mediterranean Region, Alanya, Turkey",2025,8.0,4.0,2.0,47.0,177992.0,Europe
4554,"1 room apartment 77 m² in Karakocali, Turkey",Turkey,"Karakocali, Mediterranean Region, Alanya, Turkey",2025,5.0,,2.0,77.0,183691.0,Europe
4592,"1 room apartment 53 m² in Ciplakli, Turkey",Turkey,"Ciplakli, Mediterranean Region, Alanya, Turkey",2025,8.0,2.0,2.0,53.0,211433.0,Europe
4771,"4 room apartment 47 m² in Alanya, Turkey",Turkey,"Mediterranean Region, Sekerhane Mahallesi, Alanya, Turkey",2025,,1.0,4.0,47.0,174452.0,Europe
4793,"5 room apartment 52 m² in Alanya, Turkey",Turkey,"Mediterranean Region, Sekerhane Mahallesi, Alanya, Turkey",2025,,1.0,5.0,52.0,173909.0,Europe
4841,"1 room apartment 86 m² in Mahmutlar, Turkey",Turkey,"Mahmutlar, Mediterranean Region, Alanya, Turkey",2025,,,2.0,86.0,239124.0,Europe
4953,"3 room apartment 60 m² in Alanya, Turkey",Turkey,"Mediterranean Region, Sekerhane Mahallesi, Alanya, Turkey",2025,,4.0,3.0,60.0,190212.0,Europe
5089,"2 room apartment 92 m² in Karakocali, Turkey",Turkey,"Karakocali, Mediterranean Region, Alanya, Turkey",2025,11.0,,2.0,92.0,287493.0,Europe
5123,"2 room apartment 107 m² in Tuerkler, Turkey",Turkey,"Tuerkler, Mediterranean Region, Alanya, Turkey",2025,,,3.0,107.0,303253.0,Europe
5290,"2 room apartment 107 m² in Mezitli, Turkey",Turkey,"Mezitli, Mediterranean Region, Mersin, Turkey",2025,13.0,,3.0,107.0,153257.0,Europe
5343,"1 room apartment 78 m² in Marmara Region, Turkey",Turkey,"Marmara Region, Turkey",2025,30.0,17.0,2.0,78.0,440878.0,Europe
5347,"3 room apartment 150 m² in Ciplakli, Turkey",Turkey,"Ciplakli, Mediterranean Region, Alanya, Turkey",2025,6.0,,4.0,150.0,391294.0,Europe
5355,"3 room apartment 156 m² in Karakocali, Turkey",Turkey,"Karakocali, Mediterranean Region, Alanya, Turkey",2025,11.0,1.0,3.0,156.0,475531.0,Europe
5387,"2 room apartment 92 m² in Marmara Region, Turkey",Turkey,"Marmara Region, Turkey",2025,15.0,,3.0,92.0,397816.0,Europe
5532,"4 room apartment 189 m² in Yapracik, Turkey",Turkey,"Yapracik, Central Anatolia Region, Ankara, Turkey",2025,,,5.0,189.0,335861.0,Europe
5563,"3 room apartment 156 m² in Karakocali, Turkey",Turkey,"Karakocali, Mediterranean Region, Alanya, Turkey",2025,11.0,2.0,3.0,156.0,486400.0,Europe
5572,"2 room apartment 95 m² in Karakocali, Turkey",Turkey,"Karakocali, Mediterranean Region, Alanya, Turkey",2025,10.0,3.0,2.0,95.0,295101.0,Europe
5577,"2 room apartment 79 m² in Marmara Region, Turkey",Turkey,"Marmara Region, Turkey",2025,15.0,,3.0,79.0,402163.0,Europe
5608,"3 room apartment 86 m² in Ciplakli, Turkey",Turkey,"Ciplakli, Mediterranean Region, Alanya, Turkey",2025,8.0,2.0,3.0,86.0,319072.0,Europe
5655,"2 room apartment 92 m² in Karakocali, Turkey",Turkey,"Karakocali, Mediterranean Region, Alanya, Turkey",2025,11.0,4.0,2.0,92.0,301623.0,Europe
5673,"1 room apartment 47 m² in Ciplakli, Turkey",Turkey,"Ciplakli, Mediterranean Region, Alanya, Turkey",2025,8.0,2.0,2.0,47.0,202803.0,Europe
5677,"2 room apartment 92 m² in Karakocali, Turkey",Turkey,"Karakocali, Mediterranean Region, Alanya, Turkey",2025,11.0,,2.0,92.0,283145.0,Europe
5762,"1 room apartment 57 m² in Marmara Region, Turkey",Turkey,"Marmara Region, Turkey",2025,10.0,,2.0,57.0,374990.0,Europe
5770,"2 room apartment 92 m² in Karakocali, Turkey",Turkey,"Karakocali, Mediterranean Region, Alanya, Turkey",2025,11.0,6.0,2.0,92.0,303796.0,Europe
5772,"2 room apartment 92 m² in Karakocali, Turkey",Turkey,"Karakocali, Mediterranean Region, Alanya, Turkey",2025,11.0,5.0,2.0,92.0,300536.0,Europe
5781,"3 room apartment 94 m² in Elvanli, Turkey",Turkey,"Elvanli, Mediterranean Region, Mersin, Turkey",2025,14.0,,4.0,94.0,102171.0,Europe
5800,"2 room apartment 92 m² in Karakocali, Turkey",Turkey,"Karakocali, Mediterranean Region, Alanya, Turkey",2025,11.0,1.0,2.0,92.0,290753.0,Europe
5848,"1 room apartment 85 m² in Akarca, Turkey",Turkey,"Akarca, Central Anatolia Region, Turkey",2025,15.0,,2.0,85.0,86954.0,Europe
5947,"1 room apartment 51 m² in Alanya, Turkey",Turkey,"Mediterranean Region, Alanya, Turkey",2025,5.0,1.0,2.0,51.0,178509.0,Europe
6110,"2 room apartment 132 m² in Marmara Region, Turkey",Turkey,"Marmara Region, Turkey",2025,,,3.0,132.0,402163.0,Europe
6133,"Penthouse 3 bedrooms 144 m² in Karakocali, Turkey",Turkey,"Karakocali, Mediterranean Region, Alanya, Turkey",2025,5.0,,4.0,144.0,342382.0,Europe
6220,"1 room apartment 80 m² in Ciftepinar, Turkey",Turkey,"Ciftepinar, Mediterranean Region, Erdemli, Turkey",2025,15.0,,2.0,80.0,88041.0,Europe
6423,"1 room apartment 53 m² in Orhangazi, Turkey",Turkey,"Marmara Region, Orhangazi, Turkey",2025,7.0,1.0,2.0,53.0,94563.0,Europe
6543,"1 room apartment 66 m² in Muratpasa, Turkey",Turkey,"Muratpasa, Mediterranean Region, Turkey",2025,5.0,,2.0,66.0,190946.0,Europe
6545,"2 room apartment 67 m² in Orhangazi, Turkey",Turkey,"Marmara Region, Orhangazi, Turkey",2025,7.0,1.0,3.0,67.0,109780.0,Europe
6568,"3 room apartment 60 m² in Erdemli, Turkey",Turkey,"Mediterranean Region, Erdemli, Turkey",2025,,1.0,3.0,60.0,99943.0,Europe
6577,"3 room apartment 60 m² in Alanya, Turkey",Turkey,"Mediterranean Region, Sekerhane Mahallesi, Alanya, Turkey",2025,,1.0,3.0,60.0,124997.0,Europe
6663,"2 room apartment 97 m² in Yesilkoey, Turkey",Turkey,"Yesilkoey, Mediterranean Region, Antalya, Turkey",2025,8.0,,3.0,97.0,229000.0,Europe
6675,"2 room apartment 105 m² in Mersin, Turkey",Turkey,"Mediterranean Region, Mersin, Turkey",2026,16.0,1.0,3.0,105.0,170747.0,Europe
6973,"2 room apartment 87 m² in Muratpasa, Turkey",Turkey,"Muratpasa, Mediterranean Region, Turkey",2025,2.0,,3.0,87.0,210000.0,Europe
7065,"1 room apartment 56 m² in Alanya, Turkey",Turkey,"Mediterranean Region, Sekerhane Mahallesi, Alanya, Turkey",2025,7.0,6.0,2.0,56.0,163294.0,Europe
7093,"1 room apartment 65 m² in Ciplakli, Turkey",Turkey,"Ciplakli, Mediterranean Region, Alanya, Turkey",2025,6.0,,2.0,65.0,167387.0,Europe
7183,"1 room apartment 78 m² in Mezitli, Turkey",Turkey,"Mezitli, Mediterranean Region, Mersin, Turkey",2025,14.0,,2.0,78.0,120649.0,Europe
7209,"1 room apartment 80 m² in Mezitli, Turkey",Turkey,"Mezitli, Mediterranean Region, Mersin, Turkey",2025,14.0,,2.0,80.0,134779.0,Europe
7267,"1 room apartment 75 m² in Bueyuekcekmece, Turkey",Turkey,"Bueyuekcekmece, Marmara Region, Turkey",2025,14.0,3.0,2.0,75.0,165000.0,Europe
7416,"2 room apartment 105 m² in Istanbul, Turkey",Turkey,"Marmara Region, Istanbul, Turkey",2025,16.0,,3.0,105.0,312000.0,Europe
7424,"1 room apartment 57 m² in Alanya, Turkey",Turkey,"Mediterranean Region, Alanya, Turkey",2025,,,2.0,57.0,238106.0,Europe
7493,"1 room apartment 47 m² in Alanya, Turkey",Turkey,"Mediterranean Region, Alanya, Turkey",2025,,,2.0,47.0,208000.0,Europe
7515,"2 room apartment 92 m² in Karakocali, Turkey",Turkey,"Karakocali, Mediterranean Region, Alanya, Turkey",2025,11.0,2.0,2.0,92.0,290753.0,Europe
7588,"1 room apartment 69 m² in Marmara Region, Turkey",Turkey,"Marmara Region, Turkey",2025,,,2.0,69.0,221733.0,Europe
7610,"1 room apartment 88 m² in Istanbul, Turkey",Turkey,"Marmara Region, Istanbul, Turkey",2025,17.0,,2.0,88.0,258000.0,Europe
7634,"3 room apartment 205 m² in Maslak Mahallesi, Turkey",Turkey,"Marmara Region, Maslak Mahallesi, Turkey",2025,41.0,,4.0,205.0,2059729.0,Europe
7717,"4 room apartment 236 m² in Marmara Region, Turkey",Turkey,"Marmara Region, Turkey",2025,6.0,,5.0,236.0,1624958.0,Europe
7745,"2 room apartment 132 m² in Marmara Region, Turkey",Turkey,"Marmara Region, Turkey",2025,6.0,,3.0,132.0,1019539.0,Europe
7748,"Penthouse 5 bedrooms 250 m² in Payallar, Turkey",Turkey,"Payallar, Mediterranean Region, Alanya, Turkey",2025,7.0,1.0,6.0,250.0,553246.0,Europe
7785,"1 room apartment 65 m² in Marmara Region, Turkey",Turkey,"Marmara Region, Turkey",2025,6.0,,2.0,65.0,491292.0,Europe
7854,"5 room apartment 369 m² in Karakocali, Turkey",Turkey,"Karakocali, Mediterranean Region, Alanya, Turkey",2025,10.0,8.0,5.0,369.0,787479.0,Europe
8004,"1 room apartment 72 m² in Marmara Region, Turkey",Turkey,"Marmara Region, Turkey",2025,7.0,44.0,1.0,72.0,433436.0,Europe
8086,"1 room apartment 69 m² in Istanbul, Turkey",Turkey,"Marmara Region, Istanbul, Turkey",2025,10.0,,2.0,69.0,733677.0,Europe
8201,"Penthouse 3 bedrooms 282 m² in Ishakli, Turkey",Turkey,"Ishakli, Mediterranean Region, Alanya, Turkey",2025,,,4.0,282.0,1249967.0,Europe
8248,"2 room apartment 106 m² in Istanbul, Turkey",Turkey,"Marmara Region, Istanbul, Turkey",2025,10.0,,3.0,106.0,1309748.0,Europe
8254,"3 room apartment 160 m² in Marmara Region, Turkey",Turkey,"Marmara Region, Turkey",2025,6.0,,4.0,160.0,1396703.0,Europe
8300,"3 room apartment 164 m² in Marmara Region, Turkey",Turkey,"Marmara Region, Turkey",2025,,,4.0,164.0,857586.0,Europe
8469,"3 room apartment 163 m² in Karakocali, Turkey",Turkey,"Karakocali, Mediterranean Region, Alanya, Turkey",2025,10.0,,3.0,163.0,451619.0,Europe
8481,"3 room apartment 135 m² in Marmara Region, Turkey",Turkey,"Marmara Region, Turkey",2025,9.0,,4.0,135.0,515204.0,Europe
8502,"3 room apartment 186 m² in Goektuerk Merkez Mahallesi, Turkey",Turkey,"Marmara Region, Goektuerk Merkez Mahallesi, Turkey",2025,,,4.0,186.0,1179317.0,Europe
8565,"2 room apartment 73 m² in Yesilkoey, Turkey",Turkey,"Yesilkoey, Mediterranean Region, Antalya, Turkey",2025,10.0,,3.0,73.0,243598.0,Europe
8631,"1 room apartment 69 m² in Merkez Mahallesi, Turkey",Turkey,"Marmara Region, Merkez Mahallesi, Turkey",2025,,,2.0,69.0,717373.0,Europe
8680,"5 room apartment 386 m² in Karakocali, Turkey",Turkey,"Karakocali, Mediterranean Region, Alanya, Turkey",2025,11.0,8.0,5.0,386.0,782045.0,Europe
8690,"1 room apartment 80 m² in Maslak Mahallesi, Turkey",Turkey,"Marmara Region, Maslak Mahallesi, Turkey",2025,41.0,,2.0,80.0,855412.0,Europe
8713,"3 room apartment 152 m² in Kadikoey, Turkey",Turkey,"Kadikoey, Marmara Region, Turkey",2025,25.0,10.0,4.0,152.0,719470.0,Europe
8736,"Penthouse 4 bedrooms 359 m² in Karakocali, Turkey",Turkey,"Karakocali, Mediterranean Region, Alanya, Turkey",2025,11.0,,5.0,359.0,782588.0,Europe
8786,"5 room apartment 360 m² in Karakocali, Turkey",Turkey,"Karakocali, Mediterranean Region, Alanya, Turkey",2025,10.0,8.0,5.0,360.0,787479.0,Europe
8799,"Penthouse 2 bedrooms 116 m² in Yaylali, Turkey",Turkey,"Yaylali, Mediterranean Region, Alanya, Turkey",2025,,,3.0,116.0,804327.0,Europe
8886,"4 room apartment 190 m² in Ciplakli, Turkey",Turkey,"Ciplakli, Mediterranean Region, Alanya, Turkey",2025,6.0,,5.0,190.0,492378.0,Europe
8893,"4 room apartment 164 m² in Marmara Region, Turkey",Turkey,"Marmara Region, Turkey",2025,,,5.0,164.0,949975.0,Europe
8910,"2 room apartment 96 m² in Marmara Region, Turkey",Turkey,"Marmara Region, Turkey",2025,,,3.0,96.0,544551.0,Europe
8918,"Penthouse 2 bedrooms 146 m² in Derekoey, Turkey",Turkey,"Derekoey, Aegean Region, Bodrum, Turkey",2025,2.0,,3.0,146.0,401076.0,Europe
8924,"3 room apartment 163 m² in Karakocali, Turkey",Turkey,"Karakocali, Mediterranean Region, Alanya, Turkey",2025,10.0,7.0,3.0,163.0,505965.0,Europe
8936,"2 room apartment 108 m² in Goektuerk Merkez Mahallesi, Turkey",Turkey,"Marmara Region, Goektuerk Merkez Mahallesi, Turkey",2025,,,3.0,108.0,733677.0,Europe
8997,"3 room apartment 187 m² in Karakocali, Turkey",Turkey,"Karakocali, Mediterranean Region, Alanya, Turkey",2025,10.0,8.0,3.0,187.0,567920.0,Europe
9005,"2 room apartment 122 m² in Istanbul, Turkey",Turkey,"Marmara Region, Istanbul, Turkey",2025,17.0,,3.0,122.0,365000.0,Europe
9049,"2 room apartment 108 m² in Eyuepsultan, Turkey",Turkey,"Eyuepsultan, Marmara Region, Turkey",2025,5.0,1.0,3.0,108.0,591000.0,Europe
9085,"3 room apartment 163 m² in Karakocali, Turkey",Turkey,"Karakocali, Mediterranean Region, Alanya, Turkey",2025,10.0,5.0,3.0,163.0,484227.0,Europe
9118,"2 room apartment 88 m² in Ishakli, Turkey",Turkey,"Ishakli, Mediterranean Region, Alanya, Turkey",2025,,,3.0,88.0,454336.0,Europe
9167,"4 room apartment 58 m² in Alanya, Turkey",Turkey,"Mediterranean Region, Sekerhane Mahallesi, Alanya, Turkey",2025,,4.0,4.0,58.0,282601.0,Europe
9212,"2 room apartment 231 m² in Derekoey, Turkey",Turkey,"Derekoey, Aegean Region, Bodrum, Turkey",2025,2.0,,3.0,231.0,455423.0,Europe
9242,"Penthouse 2 bedrooms 104 m² in Yaylali, Turkey",Turkey,"Yaylali, Mediterranean Region, Alanya, Turkey",2025,,,3.0,104.0,505422.0,Europe
9280,"3 room apartment 156 m² in Karakocali, Turkey",Turkey,"Karakocali, Mediterranean Region, Alanya, Turkey",2025,11.0,6.0,3.0,156.0,529877.0,Europe
9357,"3 room apartment 156 m² in Karakocali, Turkey",Turkey,"Karakocali, Mediterranean Region, Alanya, Turkey",2025,11.0,4.0,3.0,156.0,508139.0,Europe
