,title,country,location,building_construction_year,building_total_floors,apartment_floor,apartment_rooms,apartment_total_area,price_in_USD,Continent
63084,"3 room apartment 66 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2025,18.0,11.0,3.0,66.0,196883.0,Asia
63085,"3 room apartment 75 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2026,16.0,3.0,3.0,75.0,162446.0,Asia
63087,"4 room apartment 64 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2025,16.0,3.0,4.0,64.0,173673.0,Asia
63088,"4 room apartment 81 m² in Moscow, Russia",Russia,"Central Federal District, Moscow, Central Administrative Okrug, Russia",2025,30.0,12.0,4.0,81.0,184373.0,Asia
63089,"3 room apartment 63 m² in Kommunarka, Russia",Russia,"Kommunarka, Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2025,9.0,3.0,3.0,63.0,160910.0,Asia
63094,"4 room apartment 74 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2025,18.0,11.0,4.0,74.0,223160.0,Asia
63095,"2 room apartment 50 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2025,19.0,16.0,2.0,50.0,129506.0,Asia
63096,"4 room apartment 62 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2026,15.0,7.0,4.0,62.0,153810.0,Asia
63097,"1 room apartment 36 m² in Moscow, Russia",Russia,"Central Federal District, Moscow, Central Administrative Okrug, Russia",2026,16.0,4.0,1.0,36.0,229709.0,Asia
63103,"4 room apartment 103 m² in Moscow, Russia",Russia,"Central Federal District, Moscow, Central Administrative Okrug, Russia",2026,16.0,14.0,4.0,103.0,479889.0,Asia
63105,"4 room apartment 81 m² in Moscow, Russia",Russia,"Central Federal District, Moscow, Central Administrative Okrug, Russia",2025,30.0,13.0,4.0,81.0,193681.0,Asia
63106,"4 room apartment 80 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2025,16.0,10.0,4.0,80.0,205527.0,Asia
63110,"4 room apartment 103 m² in Kommunarka, Russia",Russia,"Kommunarka, Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2025,16.0,5.0,4.0,103.0,246765.0,Asia
63111,"4 room apartment 94 m² in Kommunarka, Russia",Russia,"Kommunarka, Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2025,16.0,4.0,4.0,94.0,223334.0,Asia
63113,"4 room apartment 94 m² in Kommunarka, Russia",Russia,"Kommunarka, Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2025,16.0,14.0,4.0,94.0,233589.0,Asia
63119,"3 room apartment 88 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2026,9.0,6.0,3.0,88.0,194027.0,Asia
